text,count,files,kinds,firstFile
"Dashboard",5,4,"jsx-text|prop:label","pages/dashboard.tsx"
"Deal ID",5,2,"jsx-text|prop:placeholder","pages/deal-patterns.tsx"
"Tenants",5,3,"jsx-text|prop:aria-label|prop:label","pages/real-runtime.tsx"
"Running",4,3,"jsx-text|prop:label","components/ab-test-manager.tsx"
"Subject:",4,4,"jsx-text","components/ab-test-manager.tsx"
"Opened",4,4,"jsx-text","components/ab-test-manager.tsx"
"Campaign",4,4,"jsx-text","components/ab-tests-content.tsx"
"Loading activity timeline",4,2,"prop:aria-label|prop:label","components/activity-timeline.tsx"
"Unknown",4,3,"jsx-text|prop:label","components/ai-offer-generator.tsx"
"Responses",4,4,"jsx-text","components/analytics-content.tsx"
"Spent",4,3,"jsx-text","components/campaigns-content.tsx"
"Template",4,4,"jsx-text","components/campaigns-content.tsx"
"Entity",4,4,"jsx-text","components/compliance-settings.tsx"
"User",4,3,"jsx-text","components/compliance-settings.tsx"
"Details",4,4,"jsx-text","components/compliance-settings.tsx"
"Total leads",4,4,"jsx-text","components/compliance-settings.tsx"
"Back to conversations",4,1,"prop:aria-label|prop:label","components/conversation-tray.tsx"
"Open conversations",4,1,"prop:aria-label|prop:label","components/conversation-tray.tsx"
"Current balance",4,4,"jsx-text|prop:label","components/cost-confirmation-modal.tsx"
"Customer health",4,3,"jsx-text|prop:label","components/dashboard/BusinessIntelligence.tsx"
"Overdue",4,3,"jsx-text|prop:label","components/dashboard/JobQueueHealth.tsx"
"Offer amount",4,4,"jsx-text","components/deal-detail-content.tsx"
"Location",4,3,"jsx-text","components/deal-detail-content.tsx"
"Copy link",4,3,"prop:aria-label|prop:label","components/deal-detail-content.tsx"
"Pass on this opportunity",4,1,"prop:aria-label|prop:label","components/deal-feed/daily-deal-feed.tsx"
"Save this opportunity",4,1,"prop:aria-label|prop:label","components/deal-feed/daily-deal-feed.tsx"
"Send offer for this opportunity",4,1,"prop:aria-label|prop:label","components/deal-feed/daily-deal-feed.tsx"
"Transfer tax",4,3,"jsx-text","components/document-generator.tsx"
"Terrain",4,4,"jsx-text|prop:label","components/field-scanner.tsx"
"Call lead",4,2,"prop:aria-label|prop:label","components/focus-list.tsx"
"Email lead",4,2,"prop:aria-label|prop:label","components/focus-list.tsx"
"Approve",4,4,"jsx-text","components/founder/AgentDebatePanel.tsx"
"Month",4,4,"jsx-text","components/founder/CompanyChronicle.tsx"
"Trust",4,4,"jsx-text","components/founder/PerformanceReviews.tsx"
"Playbook steps",4,2,"prop:aria-label|prop:label","components/founder/PlaybookManager.tsx"
"Approved",4,4,"jsx-text|prop:label","components/founder/PlaybookManager.tsx"
"Finance",4,2,"jsx-text|prop:aria-label|prop:label","components/founder/finance-now-tiles.tsx"
"Pro",4,3,"jsx-text","components/founder/finance-steering-sections.tsx"
"Approving",4,2,"prop:aria-label|prop:label","components/founder-chat/artifacts/decision_card.tsx"
"Default",4,4,"jsx-text","components/help-content.tsx"
"Theme",4,3,"jsx-text","components/layout-sidebar.tsx"
"Dismiss",4,2,"prop:aria-label|prop:label","components/layout-sidebar.tsx"
"Legacy surface",4,1,"prop:aria-label|prop:label","components/layout-sidebar.tsx"
"Mobile navigation",4,2,"prop:aria-label|prop:label","components/layout-sidebar.tsx"
"Sidebar",4,3,"jsx-text|prop:aria-label|prop:label","components/layout-sidebar.tsx"
"Unassigned",4,3,"jsx-text","components/lead-detail-content.tsx"
"Calls",4,4,"jsx-text","components/lead-detail-content.tsx"
"Previous page",4,2,"prop:aria-label|prop:label","components/list-pagination.tsx"
"Next page",4,2,"prop:aria-label|prop:label","components/list-pagination.tsx"
"Assessed",4,4,"jsx-text|prop:label","components/mobile/CourthouseMode.tsx"
"Open full desktop view",4,2,"prop:aria-label|prop:label","components/mobile/MobileLeadDetail.tsx"
"Clear search",4,2,"prop:aria-label|prop:label","components/mobile/MobileLeadList.tsx"
"Urgent",4,3,"jsx-text","components/mobile/QuickAddSheet.tsx"
"Pipeline",4,4,"jsx-text|prop:label","components/mobile/persona-tabs/UniversalTabs.tsx"
"Navigate to property",4,1,"prop:aria-label|prop:label","components/navigate-to-property.tsx"
"Year",4,4,"jsx-text","components/note-basis-schedule.tsx"
"Expires",4,3,"jsx-text|prop:label","components/note-compliance-card.tsx"
"Tax ID type",4,4,"jsx-text","components/onboarding/TaxIdentityPrompt.tsx"
"Street address",4,2,"jsx-text|prop:aria-label|prop:label|prop:placeholder","components/onboarding/TaxIdentityPrompt.tsx"
"Owning Entity (optional)",4,1,"jsx-text|prop:aria-label|prop:label","components/owning-entity-select.tsx"
"Share",4,3,"jsx-text|prop:aria-label|prop:label","components/parcels/subdivision-tab.tsx"
"Projects",4,2,"jsx-text|prop:aria-label|prop:label","components/pax-copilot-rail.tsx"
"Collapse panel",4,2,"prop:aria-label|prop:label","components/pax-copilot-rail.tsx"
"Attach file",4,2,"prop:aria-label|prop:label","components/pax-copilot-rail.tsx"
"Current",4,4,"jsx-text|prop:label","components/prompt-diff-viewer.tsx"
"Elevation",4,4,"jsx-text","components/property-enrichment-widget.tsx"
"Agricultural",4,4,"jsx-text","components/property-enrichment-widget.tsx"
"Wetland",4,2,"jsx-text","components/property-enrichment-widget.tsx"
"Dismiss install prompt",4,1,"prop:aria-label|prop:label","components/pwa-install-prompt.tsx"
"Inspection",4,2,"jsx-text|prop:label","components/rehabs/draws-section.tsx"
"Loading sequences",4,2,"prop:aria-label|prop:label","components/sequences-content.tsx"
"Back to cases",4,2,"prop:aria-label|prop:label","components/support-content.tsx"
"/mo",4,4,"jsx-text","components/tier-upgrade-panel.tsx"
"Plan feature comparison",4,2,"prop:aria-label|prop:label","components/tier-upgrade-panel.tsx"
"Toggle Sidebar",4,1,"jsx-text|prop:aria-label|prop:label|prop:title","components/ui/sidebar.tsx"
"Filter by state",4,3,"jsx-text|prop:placeholder","pages/acquisition-radar.tsx"
"Today",4,4,"jsx-text|prop:label|prop:title","pages/agent-command-center.tsx"
"Overview",4,4,"jsx-text","pages/agent-command-center.tsx"
"Cohorts",4,2,"jsx-text|prop:aria-label|prop:label","pages/analytics.tsx"
"Comparable sales",4,2,"prop:aria-label|prop:label","pages/avm.tsx"
"Retry comp auto-pull",4,1,"prop:aria-label|prop:label","pages/blind-offer-wizard.tsx"
"Email address",4,3,"jsx-text|prop:aria-label|prop:label","pages/borrower-portal.tsx"
"Due date",4,3,"jsx-text","pages/borrower-portal.tsx"
"Select year",4,2,"jsx-text|prop:aria-label|prop:label|prop:placeholder","pages/borrower-portal.tsx"
"Notification preferences",4,1,"jsx-text|prop:aria-label|prop:label","pages/buyer-network.tsx"
"Active alerts",4,3,"jsx-text|prop:aria-label|prop:label","pages/buyer-network.tsx"
"Buyer profiles",4,1,"jsx-text|prop:aria-label|prop:label","pages/buyer-network.tsx"
"High-risk notes",4,2,"jsx-text|prop:aria-label|prop:label","pages/cash-flow.tsx"
"Income by source",4,2,"jsx-text|prop:aria-label|prop:label","pages/cash-flow.tsx"
"Rejected",4,4,"jsx-text","pages/command-center.tsx"
"Filter by agent",4,2,"jsx-text|prop:aria-label|prop:label|prop:placeholder","pages/command-center.tsx"
"Button",4,1,"prop:aria-label|prop:label","pages/command-center.tsx"
"Deals closed",4,4,"jsx-text|prop:label","pages/commissions.tsx"
"Paid",4,2,"jsx-text|prop:aria-label|prop:label","pages/commissions.tsx"
"Compliance score",4,3,"jsx-text|prop:aria-label|prop:label","pages/compliance.tsx"
"Tax ID",4,3,"jsx-text","pages/contractor-1099-nec.tsx"
"Dismiss tip",4,1,"prop:aria-label|prop:label","pages/dashboard.tsx"
"Healthy",4,2,"jsx-text","pages/deal-hunter.tsx"
"Views",4,3,"jsx-text","pages/deal-room-share.tsx"
"List view",4,2,"prop:aria-label|prop:label","pages/deals.tsx"
"Active event subscriptions",4,2,"prop:aria-label|prop:label","pages/event-log.tsx"
"Payouts",4,2,"jsx-text|prop:aria-label|prop:label","pages/fee-dashboard.tsx"
"Cost event",4,2,"prop:label","pages/founder/inspector/cost-event.tsx"
"Organization id",4,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Optional — why are you changing this?",4,4,"prop:placeholder","pages/founder/studio/allocation.tsx"
"Count",4,2,"jsx-text","pages/founder/telemetry.tsx"
"Vendor",4,3,"jsx-text","pages/founder-compliance-ops.tsx"
"Organization",4,3,"jsx-text","pages/founder-dashboard.tsx"
"Letter archive",4,2,"prop:aria-label|prop:label","pages/founder-letter.tsx"
"Onboarding",4,3,"jsx-text|prop:label","pages/founder-onboarding.tsx"
"Pick an agent",4,1,"jsx-text|prop:aria-label|prop:label|prop:placeholder","pages/founder-prompt-history.tsx"
"Back to inbox",4,1,"prop:aria-label|prop:label","pages/inbox.tsx"
"Select CSV file to import",4,2,"prop:aria-label|prop:label","pages/leads.tsx"
"Tax optimizer",4,1,"jsx-text|prop:label","pages/tax-optimizer.tsx"
"Delinquent properties",4,1,"jsx-text|prop:aria-label|prop:label","pages/tax-researcher.tsx"
"Control",3,2,"jsx-text","components/ab-test-manager.tsx"
"Responded",3,3,"jsx-text","components/ab-test-manager.tsx"
"Subject line",3,2,"jsx-text|prop:placeholder","components/ab-test-manager.tsx"
"Response Rate",3,2,"jsx-text","components/ab-tests-content.tsx"
"Drafts",3,2,"jsx-text|prop:aria-label|prop:label","components/ab-tests-content.tsx"
"Payments",3,3,"jsx-text","components/activity-content.tsx"
"= 50) return",3,3,"jsx-text","components/ai-offer-generator.tsx"
"Export",3,2,"jsx-text","components/analytics-content.tsx"
"Conversions",3,3,"jsx-text","components/attribution-analytics.tsx"
"Avg days",3,3,"jsx-text","components/attribution-analytics.tsx"
"Recent responses",3,1,"jsx-text|prop:aria-label|prop:label","components/campaign-analytics.tsx"
"Total sent",3,2,"jsx-text","components/campaigns-content.tsx"
"Mail piece type",3,1,"jsx-text|prop:aria-label|prop:label","components/campaigns-content.tsx"
"Additional feedback",3,2,"jsx-text|prop:aria-label|prop:label","components/cancellation-dialog.tsx"
"Cohort detail",3,1,"jsx-text|prop:aria-label|prop:label","components/cohort-analytics.tsx"
"Total revenue",3,3,"jsx-text|prop:label","components/cohort-retention-dashboard.tsx"
"Conv. rate",3,3,"jsx-text","components/cohort-retention-dashboard.tsx"
"Comments",3,1,"jsx-text|prop:aria-label|prop:label","components/comment-thread.tsx"
"Entity type",3,3,"jsx-text|prop:placeholder","components/compliance-settings.tsx"
"Median $/acre",3,3,"jsx-text","components/comps-analysis.tsx"
"Comparable properties",3,1,"jsx-text|prop:aria-label|prop:label","components/comps-analysis.tsx"
"Share this property",3,1,"jsx-text|prop:aria-label|prop:label","components/content-generation.tsx"
"Share this deal",3,1,"jsx-text|prop:aria-label|prop:label","components/content-generation.tsx"
"Team messages",3,1,"jsx-text|prop:aria-label|prop:label","components/conversation-tray.tsx"
"Label",3,3,"jsx-text","components/custom-fields.tsx"
"Forecast",3,3,"jsx-text","components/dashboard/MRRTrajectory.tsx"
"Predictions",3,2,"jsx-text|prop:aria-label|prop:label","components/dashboard/PredictiveInsights.tsx"
"Analysis results",3,2,"jsx-text|prop:aria-label|prop:label","components/deal-calculator.tsx"
"Total cost",3,3,"jsx-text|prop:label","components/deal-calculator.tsx"
"Annualized ROI",3,3,"jsx-text|prop:label","components/deal-calculator.tsx"
"Title company",3,3,"jsx-text","components/deal-detail-content.tsx"
"Email thread",3,1,"jsx-text|prop:aria-label|prop:label","components/deal-inbox.tsx"
"Earnest money",3,2,"jsx-text|prop:label","components/document-generator.tsx"
"Price",3,3,"jsx-text|prop:label","components/document-generator.tsx"
"Contact email",3,3,"jsx-text","components/document-generator.tsx"
"Asking Price",3,2,"jsx-text|prop:placeholder","components/document-generator.tsx"
"Verified",3,3,"jsx-text","components/email-domains-settings.tsx"
"No tasks yet",3,3,"jsx-text|prop:title","components/empty-states/TasksEmptyState.tsx"
"Wildfire",3,3,"jsx-text|prop:label","components/environmental-intelligence-card.tsx"
"Help",3,2,"prop:aria-label|prop:label","components/feature-hints.tsx"
"Offline",3,2,"jsx-text","components/field-scout/offline-sync-banner.tsx"
"Online",3,2,"jsx-text","components/field-scout/offline-sync-banner.tsx"
"Mark as contacted",3,1,"jsx-text|prop:aria-label|prop:label","components/focus-list.tsx"
"Goals",3,2,"jsx-text|prop:aria-label|prop:label","components/founder/AgentGrowth.tsx"
"Topic or focus (optional)",3,1,"prop:aria-label|prop:label|prop:placeholder","components/founder/FounderTwin.tsx"
"Needs your approval",3,2,"jsx-text|prop:aria-label|prop:label","components/founder/PlaybookManager.tsx"
"Scale",3,3,"jsx-text","components/founder/finance-steering-sections.tsx"
"Margin",3,2,"jsx-text","components/founder/finance-steering-sections.tsx"
"Scale-up history",3,1,"jsx-text|prop:aria-label|prop:label","components/founder/finance-steering-sections.tsx"
"Deferred",3,2,"jsx-text","components/founder/finance-steering-sections.tsx"
"Threshold",3,3,"jsx-text","components/founder/finance-steering-sections.tsx"
"Founder",3,2,"jsx-text|prop:aria-label|prop:label","components/founder-bridge/BridgeHeader.tsx"
"Confirm",3,2,"jsx-text|prop:aria-label|prop:label","components/founder-chat/artifacts/confirmation_request.tsx"
"Error",3,2,"jsx-text|prop:label","components/gis-health-dashboard.tsx"
"All States",3,2,"jsx-text|prop:placeholder","components/gis-health-dashboard.tsx"
"Billing",3,2,"jsx-text","components/help/HelpPanel.tsx"
"Type your message…",3,3,"prop:placeholder","components/help/HelpPanel.tsx"
"Loading integrations",3,2,"prop:aria-label|prop:label","components/integrations-settings.tsx"
"Navigation",3,3,"jsx-text","components/keyboard-shortcuts-dialog.tsx"
"Search",3,3,"jsx-text","components/layout-sidebar.tsx"
"Quick offer",3,2,"jsx-text","components/layout-sidebar.tsx"
"Sign Out",3,1,"jsx-text","components/layout-sidebar.tsx"
"Select state",3,3,"jsx-text|prop:placeholder","components/mail-settings-content.tsx"
"Min bid",3,3,"jsx-text|prop:label","components/mobile/CourthouseMode.tsx"
"Comps",3,3,"jsx-text|prop:label","components/mobile/MobilePropertyDetail.tsx"
"Severity",3,2,"jsx-text","components/mobile/QuickAddSheet.tsx"
"(url: string): Promise",3,3,"jsx-text","components/mobile/persona-tabs/SubdividerTabs.tsx"
"Parcel",3,3,"jsx-text","components/modals/quick-offer-modal.tsx"
"Generating…",3,2,"jsx-text","components/note-assignments-card.tsx"
"Summary",3,3,"jsx-text","components/note-loss-mit-card.tsx"
"Reference",3,3,"jsx-text","components/note-record-payment-modal.tsx"
"Late fee",3,3,"jsx-text","components/note-record-payment-modal.tsx"
"Unread",3,2,"jsx-text|prop:aria-label|prop:label","components/notification-center.tsx"
"Pause all notifications",3,1,"jsx-text|prop:aria-label|prop:label","components/notification-preferences.tsx"
"Go back",3,2,"jsx-text|prop:aria-label|prop:label","components/offer-wizard.tsx"
"Previous",3,2,"jsx-text|prop:aria-label|prop:label","components/onboarding/ProductTour.tsx"
"Home",3,2,"jsx-text|prop:aria-label|prop:label","components/page-topbar.tsx"
"Lot",3,2,"jsx-text","components/parcels/subdivision-tab.tsx"
"Auto",3,3,"jsx-text","components/pax-copilot-rail.tsx"
"Switch conversation",3,1,"jsx-text|prop:aria-label|prop:label","components/pax-copilot-rail.tsx"
"New chat",3,1,"jsx-text|prop:aria-label|prop:label","components/pax-copilot-rail.tsx"
"Search…",3,2,"prop:placeholder","components/pax-copilot-rail.tsx"
"View run history",3,1,"prop:aria-label|prop:label|prop:title","components/pax-tasks-settings-tab.tsx"
"Year-end tax optimization",3,1,"jsx-text|prop:aria-label|prop:label","components/portfolio-health-card.tsx"
"Feature",3,3,"jsx-text","components/pricing-guide.tsx"
"Overall Score",3,3,"jsx-text","components/property-enrichment-widget.tsx"
"Risk Score",3,3,"jsx-text","components/property-enrichment-widget.tsx"
"Flood Zone",3,3,"jsx-text|prop:label","components/property-enrichment-widget.tsx"
"Population",3,3,"jsx-text","components/property-enrichment-widget.tsx"
"Legal Description",3,2,"jsx-text","components/property-enrichment-widget.tsx"
"Range",3,3,"jsx-text","components/property-enrichment-widget.tsx"
"Measure",3,1,"prop:aria-label|prop:label|prop:title","components/property-map.tsx"
"API key",3,3,"jsx-text","components/provider-settings-cards.tsx"
"Health",3,3,"jsx-text","components/provider-settings-cards.tsx"
"Remaining",3,3,"jsx-text","components/rehabs/draws-section.tsx"
"Buyer",3,3,"jsx-text","components/request-signatures-dialog.tsx"
"Purchase Price",3,3,"jsx-text","components/seller-finance-calculator.tsx"
"Payment",3,3,"jsx-text","components/seller-finance-calculator.tsx"
"Processing",3,3,"jsx-text|prop:label","components/skip-trace-panel.tsx"
"Imported",3,3,"jsx-text","components/tax-delinquent-importer.tsx"
"Leaderboard",3,3,"jsx-text","components/team-dashboard-content.tsx"
